                   i                   j               k            Flow        capacity            Dual
         Boundary1st    BoundaryHastings        Downtown               0             200          0.0000
         Boundary1st    BoundaryHastings             UBC               0             200          0.0000
         Boundary1st            Clark1st        Downtown               0               0          0.0000
         Boundary1st            Clark1st             UBC               0               0          0.0000
         Boundary1st    LougheedBoundary        Downtown               0             200          0.0000
         Boundary1st    LougheedBoundary             UBC               0             200          0.0000
    BoundaryHastings         Boundary1st        Downtown               0             200          0.0000
    BoundaryHastings         Boundary1st             UBC               0             200          0.0000
    BoundaryHastings       HastingsClark        Downtown               0             600          0.0000
    BoundaryHastings       HastingsClark             UBC               0             600          0.0000
       BroadwayClark            Clark1st        Downtown               0             600          0.0000
       BroadwayClark            Clark1st             UBC               0             600          0.0000
       BroadwayClark    KingswayBroadway        Downtown               0            2600          0.0000
       BroadwayClark    KingswayBroadway             UBC               0            2600          0.0000
       BroadwayClark      KingswayKnight        Downtown               0             600          0.0000
       BroadwayClark      KingswayKnight             UBC               0             600          0.0000
       BroadwayClark    LougheedBoundary        Downtown               0             600          0.0000
       BroadwayClark    LougheedBoundary             UBC               0             600          0.0000
          Cambie41st      CambieBroadway        Downtown            1800            2600          0.0000
          Cambie41st      CambieBroadway             UBC               0            2600          0.0000
          Cambie41st          Knight41st        Downtown               0             600          0.0000
          Cambie41st          Knight41st             UBC               0             600          0.0000
          Cambie41st        MarineCambie        Downtown               0            2600          0.0000
          Cambie41st        MarineCambie             UBC               0            2600          0.0000
          Cambie41st             Oak41st        Downtown               0             600          0.0000
          Cambie41st             Oak41st             UBC             500             600          0.0000
      CambieBroadway          Cambie41st        Downtown               0            2600          0.0000
      CambieBroadway          Cambie41st             UBC               0            2600          0.0000
      CambieBroadway            Downtown        Downtown            1800            2900          0.0000
      CambieBroadway            Downtown             UBC               0            2900          0.0000
      CambieBroadway    KingswayBroadway        Downtown               0            2600          0.0000
      CambieBroadway    KingswayBroadway             UBC               0            2600          0.0000
      CambieBroadway         OakBroadway        Downtown               0            2900          0.0000
      CambieBroadway         OakBroadway             UBC            2000            2900          0.0000
            Clark1st         Boundary1st        Downtown               0               0          0.0000
            Clark1st         Boundary1st             UBC               0               0          0.0000
            Clark1st       BroadwayClark        Downtown               0             600          0.0000
            Clark1st       BroadwayClark             UBC               0             600          0.0000
            Clark1st       HastingsClark        Downtown               0               0          0.0000
            Clark1st       HastingsClark             UBC               0               0          0.0000
            Clark1st        MainTerminal        Downtown               0             600          0.0000
            Clark1st        MainTerminal             UBC               0             600          0.0000
            Downtown      CambieBroadway        Downtown               0            2900          0.0000
            Downtown      CambieBroadway             UBC               0            2900          0.0000
            Downtown   GranvilleBroadway        Downtown               0             900          0.0000
            Downtown   GranvilleBroadway             UBC               0             900          0.0000
            Downtown       HastingsClark        Downtown               0             600          0.0000
            Downtown       HastingsClark             UBC               0             600          0.0000
            Downtown        MainTerminal        Downtown               0            5700          0.0000
            Downtown        MainTerminal             UBC               0            5700          0.0000
       Granville41st   GranvilleBroadway        Downtown             200             600         -0.0034
       Granville41st   GranvilleBroadway             UBC             400             600         -0.0034
       Granville41st          Marine41st        Downtown               0             600          0.0000
       Granville41st          Marine41st             UBC             600             600          0.0000
       Granville41st     MarineGranville        Downtown               0             600          0.0000
       Granville41st     MarineGranville             UBC               0             600          0.0000
       Granville41st             Oak41st        Downtown               0             600          0.0000
       Granville41st             Oak41st             UBC               0             600          0.0000
   GranvilleBroadway            Downtown        Downtown             200             900          0.0000
   GranvilleBroadway            Downtown             UBC               0             900          0.0000
   GranvilleBroadway       Granville41st        Downtown               0             600          0.0000
   GranvilleBroadway       Granville41st             UBC               0             600          0.0000
   GranvilleBroadway         OakBroadway        Downtown               0            2600          0.0000
   GranvilleBroadway         OakBroadway             UBC               0            2600          0.0000
   GranvilleBroadway                 UBC        Downtown               0            2900          0.0000
   GranvilleBroadway                 UBC             UBC            2600            2900          0.0000
       HastingsClark    BoundaryHastings        Downtown               0             600          0.0000
       HastingsClark    BoundaryHastings             UBC               0             600          0.0000
       HastingsClark            Clark1st        Downtown               0               0         -0.1288
       HastingsClark            Clark1st             UBC               0               0         -0.1288
       HastingsClark            Downtown        Downtown               0             600          0.0000
       HastingsClark            Downtown             UBC               0             600          0.0000
    KingswayBoundary      KingswayKnight        Downtown            3000            5100          0.0000
    KingswayBoundary      KingswayKnight             UBC            2000            5100          0.0000
    KingswayBoundary          Knight41st        Downtown               0             600          0.0000
    KingswayBoundary          Knight41st             UBC               0             600          0.0000
    KingswayBoundary    LougheedBoundary        Downtown               0             200          0.0000
    KingswayBoundary    LougheedBoundary             UBC               0             200          0.0000
    KingswayBoundary      MarineBoundary        Downtown               0               0          0.0000
    KingswayBoundary      MarineBoundary             UBC               0               0          0.0000
    KingswayBroadway       BroadwayClark        Downtown               0            2600          0.0000
    KingswayBroadway       BroadwayClark             UBC               0            2600          0.0000
    KingswayBroadway      CambieBroadway        Downtown               0            2600          0.0000
    KingswayBroadway      CambieBroadway             UBC            2000            2600          0.0000
    KingswayBroadway      KingswayKnight        Downtown               0            5100          0.0000
    KingswayBroadway      KingswayKnight             UBC               0            5100          0.0000
    KingswayBroadway        MainTerminal        Downtown            3000            5100          0.0000
    KingswayBroadway        MainTerminal             UBC               0            5100          0.0000
      KingswayKnight       BroadwayClark        Downtown               0             600          0.0000
      KingswayKnight       BroadwayClark             UBC               0             600          0.0000
      KingswayKnight    KingswayBoundary        Downtown               0            5100          0.0000
      KingswayKnight    KingswayBoundary             UBC               0            5100          0.0000
      KingswayKnight    KingswayBroadway        Downtown            3000            5100          0.0000
      KingswayKnight    KingswayBroadway             UBC            2000            5100          0.0000
      KingswayKnight          Knight41st        Downtown               0             600          0.0000
      KingswayKnight          Knight41st             UBC               0             600          0.0000
          Knight41st          Cambie41st        Downtown               0             600          0.0000
          Knight41st          Cambie41st             UBC               0             600          0.0000
          Knight41st    KingswayBoundary        Downtown               0             600          0.0000
          Knight41st    KingswayBoundary             UBC               0             600          0.0000
          Knight41st      KingswayKnight        Downtown               0             600          0.0000
          Knight41st      KingswayKnight             UBC               0             600          0.0000
          Knight41st        KnightMarine        Downtown               0             600          0.0000
          Knight41st        KnightMarine             UBC               0             600          0.0000
        KnightMarine          Knight41st        Downtown               0             600          0.0000
        KnightMarine          Knight41st             UBC               0             600          0.0000
        KnightMarine      MarineBoundary        Downtown               0             300          0.0000
        KnightMarine      MarineBoundary             UBC               0             300          0.0000
        KnightMarine        MarineCambie        Downtown               0             300          0.0000
        KnightMarine        MarineCambie             UBC               0             300          0.0000
    LougheedBoundary         Boundary1st        Downtown               0             200          0.0000
    LougheedBoundary         Boundary1st             UBC               0             200          0.0000
    LougheedBoundary       BroadwayClark        Downtown               0             600          0.0000
    LougheedBoundary       BroadwayClark             UBC               0             600          0.0000
    LougheedBoundary    KingswayBoundary        Downtown               0             200          0.0000
    LougheedBoundary    KingswayBoundary             UBC               0             200          0.0000
        MainTerminal            Clark1st        Downtown               0             600          0.0000
        MainTerminal            Clark1st             UBC               0             600          0.0000
        MainTerminal            Downtown        Downtown            3000            5700          0.0000
        MainTerminal            Downtown             UBC               0            5700          0.0000
        MainTerminal    KingswayBroadway        Downtown               0            5100          0.0000
        MainTerminal    KingswayBroadway             UBC               0            5100          0.0000
          Marine41st       Granville41st        Downtown               0             600          0.0000
          Marine41st       Granville41st             UBC               0             600          0.0000
          Marine41st     MarineGranville        Downtown               0             800          0.0000
          Marine41st     MarineGranville             UBC               0             800          0.0000
          Marine41st                 UBC        Downtown               0            1400         -0.2167
