                   i                   j            Flow        capacity
         Boundary1st    BoundaryHastings               0             200
         Boundary1st            Clark1st               0               0
         Boundary1st    LougheedBoundary               0             200
    BoundaryHastings         Boundary1st               0             200
    BoundaryHastings       HastingsClark             600             600
       BroadwayClark            Clark1st             600             600
       BroadwayClark    KingswayBroadway             600            2600
       BroadwayClark      KingswayKnight               0             600
       BroadwayClark    LougheedBoundary               0             600
          Cambie41st      CambieBroadway             200             200
          Cambie41st          Knight41st               0             600
          Cambie41st        MarineCambie               0             200
          Cambie41st             Oak41st             600             600
      CambieBroadway          Cambie41st               0             200
      CambieBroadway            Downtown             500             500
      CambieBroadway    KingswayBroadway               0            2600
      CambieBroadway         OakBroadway             300            2900
            Clark1st         Boundary1st               0               0
            Clark1st       BroadwayClark               0             600
            Clark1st       HastingsClark               0               0
            Clark1st        MainTerminal             600             600
            Downtown      CambieBroadway               0             500
            Downtown   GranvilleBroadway               0             900
            Downtown       HastingsClark               0             600
            Downtown        MainTerminal               0             900
       Granville41st   GranvilleBroadway             600             600
       Granville41st          Marine41st            1400            1400
       Granville41st     MarineGranville               0            1400
       Granville41st             Oak41st               0             600
   GranvilleBroadway            Downtown             900             900
   GranvilleBroadway       Granville41st               0             600
   GranvilleBroadway         OakBroadway               0            2600
   GranvilleBroadway                 UBC             300            2900
       HastingsClark    BoundaryHastings               0             600
       HastingsClark            Clark1st               0               0
       HastingsClark            Downtown             600             600
    KingswayBoundary      KingswayKnight             300             300
    KingswayBoundary          Knight41st             600             600
    KingswayBoundary    LougheedBoundary               0             200
    KingswayBoundary      MarineBoundary               0               0
    KingswayBroadway       BroadwayClark               0            2600
    KingswayBroadway      CambieBroadway             600            2600
    KingswayBroadway      KingswayKnight               0             300
    KingswayBroadway        MainTerminal             300             300
      KingswayKnight       BroadwayClark             600             600
      KingswayKnight    KingswayBoundary               0             300
      KingswayKnight    KingswayBroadway             300             300
      KingswayKnight          Knight41st               0             600
          Knight41st          Cambie41st             600             600
          Knight41st    KingswayBoundary               0             600
          Knight41st      KingswayKnight             600             600
          Knight41st        KnightMarine               0             600
        KnightMarine          Knight41st             600             600
        KnightMarine      MarineBoundary               0             300
        KnightMarine        MarineCambie               0             300
    LougheedBoundary         Boundary1st               0             200
    LougheedBoundary       BroadwayClark             600             600
    LougheedBoundary    KingswayBoundary               0             200
        MainTerminal            Clark1st               0             600
        MainTerminal            Downtown             900             900
        MainTerminal    KingswayBroadway               0             300
          Marine41st       Granville41st               0            1400
          Marine41st     MarineGranville               0               0
          Marine41st                 UBC            1400            1400
      MarineBoundary    KingswayBoundary               0               0
      MarineBoundary        KnightMarine               0             300
        MarineCambie          Cambie41st             200             200
        MarineCambie        KnightMarine               0             300
        MarineCambie           MarineOak               0            1200
     MarineGranville       Granville41st            1400            1400
     MarineGranville          Marine41st               0               0
     MarineGranville           MarineOak               0            1700
           MarineOak        MarineCambie               0            1200
           MarineOak     MarineGranville               0            1700
           MarineOak             Oak41st             300             300
             Oak41st          Cambie41st               0             600
             Oak41st       Granville41st             600             600
             Oak41st           MarineOak               0             300
             Oak41st         OakBroadway             300             300
         OakBroadway      CambieBroadway               0            2900
         OakBroadway   GranvilleBroadway             600            2600
         OakBroadway             Oak41st               0             300
                 UBC   GranvilleBroadway               0            2900
                 UBC          Marine41st               0            1400
