                   i                   j            Flow        capacity            Dual
         Boundary1st    BoundaryHastings               0        200.0000               0
         Boundary1st            Clark1st               0          0.0000              -0
         Boundary1st    LougheedBoundary               0        200.0000               0
    BoundaryHastings         Boundary1st               0        200.0000               0
    BoundaryHastings       HastingsClark             500        600.0000               0
       BroadwayClark            Clark1st               0        600.0000               0
       BroadwayClark    KingswayBroadway               0       2600.0000               0
       BroadwayClark      KingswayKnight               0        600.0000               0
       BroadwayClark    LougheedBoundary               0        600.0000               0
          Cambie41st      CambieBroadway               0       2600.0000               0
          Cambie41st          Knight41st               0        600.0000               0
          Cambie41st        MarineCambie               0       2600.0000               0
          Cambie41st             Oak41st             500        600.0000               0
      CambieBroadway          Cambie41st               0       2600.0000               0
      CambieBroadway            Downtown               0       2900.0000               0
      CambieBroadway    KingswayBroadway               0       2600.0000               0
      CambieBroadway         OakBroadway             500       2900.0000               0
            Clark1st         Boundary1st               0          0.0000               0
            Clark1st       BroadwayClark               0        600.0000               0
            Clark1st       HastingsClark               0          0.0000               0
            Clark1st        MainTerminal               0        600.0000               0
            Downtown      CambieBroadway               0       2900.0000               0
            Downtown   GranvilleBroadway             500        900.0000               0
            Downtown       HastingsClark               0        600.0000               0
            Downtown        MainTerminal               0       5700.0000               0
       Granville41st   GranvilleBroadway             100        600.0000               0
       Granville41st          Marine41st            1400       1400.0000               0
       Granville41st     MarineGranville               0       1400.0000               0
       Granville41st             Oak41st               0        600.0000               0
   GranvilleBroadway            Downtown               0        900.0000               0
   GranvilleBroadway       Granville41st               0        600.0000               0
   GranvilleBroadway         OakBroadway               0       2600.0000               0
   GranvilleBroadway                 UBC            1100       2900.0000               0
       HastingsClark    BoundaryHastings               0        600.0000               0
       HastingsClark            Clark1st               0          0.0000              -0
       HastingsClark            Downtown             500        600.0000               0
    KingswayBoundary      KingswayKnight             500       5100.0000               0
    KingswayBoundary          Knight41st               0        600.0000               0
    KingswayBoundary    LougheedBoundary               0        200.0000               0
    KingswayBoundary      MarineBoundary               0          0.0000               0
    KingswayBroadway       BroadwayClark               0       2600.0000               0
    KingswayBroadway      CambieBroadway             500       2600.0000               0
    KingswayBroadway      KingswayKnight               0       5100.0000               0
    KingswayBroadway        MainTerminal               0       5100.0000               0
      KingswayKnight       BroadwayClark               0        600.0000               0
      KingswayKnight    KingswayBoundary               0       5100.0000               0
      KingswayKnight    KingswayBroadway             500       5100.0000               0
      KingswayKnight          Knight41st               0        600.0000               0
          Knight41st          Cambie41st               0        600.0000               0
          Knight41st    KingswayBoundary               0        600.0000               0
          Knight41st      KingswayKnight               0        600.0000               0
          Knight41st        KnightMarine               0        600.0000               0
        KnightMarine          Knight41st               0        600.0000               0
        KnightMarine      MarineBoundary               0        300.0000               0
        KnightMarine        MarineCambie               0        300.0000               0
    LougheedBoundary         Boundary1st               0        200.0000               0
    LougheedBoundary       BroadwayClark               0        600.0000               0
    LougheedBoundary    KingswayBoundary               0        200.0000               0
        MainTerminal            Clark1st               0        600.0000               0
        MainTerminal            Downtown               0       5700.0000               0
        MainTerminal    KingswayBroadway               0       5100.0000               0
          Marine41st       Granville41st               0       1400.0000               0
          Marine41st     MarineGranville               0          0.0000               0
          Marine41st                 UBC            1400       1400.0000              -0
      MarineBoundary    KingswayBoundary               0          0.0000               0
      MarineBoundary        KnightMarine               0        300.0000               0
        MarineCambie          Cambie41st             500       2600.0000               0
        MarineCambie        KnightMarine               0        300.0000               0
        MarineCambie           MarineOak               0       1200.0000               0
     MarineGranville       Granville41st            1000       1400.0000               0
     MarineGranville          Marine41st               0          0.0000              -0
     MarineGranville           MarineOak               0       1700.0000               0
           MarineOak        MarineCambie               0       1200.0000               0
           MarineOak     MarineGranville             500       1700.0000               0
           MarineOak             Oak41st               0        300.0000               0
             Oak41st          Cambie41st               0        600.0000               0
             Oak41st       Granville41st             500        600.0000               0
             Oak41st           MarineOak               0        300.0000               0
             Oak41st         OakBroadway               0        300.0000               0
         OakBroadway      CambieBroadway               0       2900.0000               0
         OakBroadway   GranvilleBroadway             500       2600.0000               0
         OakBroadway             Oak41st               0        300.0000               0
                 UBC   GranvilleBroadway               0       2900.0000               0
                 UBC          Marine41st               0       1400.0000               0
